family,metric,station,param,S1,S1_conf,ST,ST_conf
raw,mean,HOT,gamma_lambda_temperature,0.13533922580507463,0.06288989747557305,0.6510882204529067,0.16963045601343416
raw,mean,HOT,gamma_tr,-3.396821487635817e-05,8.544297077069622e-05,5.882344763484505e-05,3.3101458489195706e-05
raw,mean,HOT,lambda_temperature_0,0.23790814261128979,0.08291476411129581,0.7920496124858438,0.16231272978206632
raw,mean,HOT,tr_0,1.5669360547254967e-05,5.417314835975209e-05,3.407841756452059e-05,2.5600789795420123e-05
raw,mean,PAPA,energy_transfert,0.04751535105990571,0.017317851069623188,0.2923165383550387,0.06390702332363105
raw,mean,PAPA,gamma_lambda_temperature,0.05719592085587083,0.022859759178910363,0.3059389979872694,0.05837653505900749
raw,mean,PAPA,gamma_tr,-0.00016959819847627805,0.0007704465512663151,0.0009640812209194401,0.00016164838854183726
raw,mean,PAPA,lambda_temperature_0,0.4887361241712995,0.1035218673225389,0.8794536573816918,0.11310398106438888
raw,mean,PAPA,tr_0,-3.2772927114990137e-05,0.0005782081920539707,0.0007629213059546518,0.00017595222843033584
raw,variance,BARENTS,energy_transfert,0.16205611863433056,0.025444701346908075,0.5577287897094021,0.09539822714756484
raw,variance,BARENTS,gamma_lambda_temperature,0.004121527879621097,0.005979651800661086,0.02808192147517122,0.004646868652917086
raw,variance,BARENTS,gamma_tr,0.0009296525998464402,0.00233989727628789,0.009002137863890489,0.002678672992791518
raw,variance,BARENTS,lambda_temperature_0,0.3532606195040968,0.06007430641710887,0.8046941107973414,0.08701591405042403
raw,variance,BARENTS,tr_0,0.021231788500728318,0.013399693328386727,0.20375248923907524,0.051041436831991915
raw,variance,BATS,energy_transfert,0.04354008970985795,0.03199487655515078,0.42676813114932066,0.13852787039539985
raw,variance,BATS,gamma_lambda_temperature,0.0661732575349824,0.026033634907992695,0.4573588204858658,0.11350491061015368
raw,variance,BATS,gamma_tr,-0.0013244960947749144,0.002828004282100321,0.03396324873823195,0.016314888471547447
raw,variance,BATS,lambda_temperature_0,0.1963865654442111,0.06605682591702791,0.6973198043058388,0.15482413900667913
raw,variance,BATS,tr_0,-0.00017258762565870486,0.0010507765036429585,0.016079924164193134,0.013711345163659551
raw,variance,Bay_of_Biscay,energy_transfert,0.0654229267372613,0.022777052960233087,0.5464701269554405,0.22269916878986143
raw,variance,Bay_of_Biscay,gamma_lambda_temperature,0.07299674931589195,0.03122186021258176,0.3648055804291739,0.11043464374055903
raw,variance,Bay_of_Biscay,gamma_tr,0.005225603453682932,0.005286463195902393,0.02077779442506042,0.0069805089576640495
raw,variance,Bay_of_Biscay,lambda_temperature_0,0.25243038521232836,0.0702974955172718,0.6947370219490103,0.15080959428631557
raw,variance,Bay_of_Biscay,tr_0,0.0030878675132063904,0.00327623701178576,0.016041217801926,0.009133819670162942
raw,variance,Canaries,energy_transfert,0.0259313997541572,0.023489782818239133,0.38159254985909974,0.2989049641472728
raw,variance,Canaries,gamma_lambda_temperature,0.02620288504272118,0.01755886008015635,0.25808578903167123,0.14857272758407072
raw,variance,Canaries,gamma_tr,0.0009196849448057133,0.0024384728238454863,0.05308008695355324,0.0400952022332184
raw,variance,Canaries,lambda_temperature_0,0.2122758569497465,0.10386324090215415,0.563128332540531,0.2927020008805926
raw,variance,Canaries,tr_0,0.0004889584155246511,0.001597850632280395,0.039985625638470634,0.05137054855658328
raw,variance,HOT,energy_transfert,0.011754067538793938,0.0178998422347087,0.4176876327133454,1.1248224961273496
raw,variance,HOT,gamma_lambda_temperature,0.02359292186926389,0.03090603210467028,0.30060626242750077,0.400941975071229
raw,variance,HOT,gamma_tr,-2.825951837821909e-05,0.0011337863892224682,0.0461382036307067,0.06640295359597287
raw,variance,HOT,lambda_temperature_0,0.09591711256842964,0.10688015756403516,0.414568198679772,0.5272546855196885
raw,variance,HOT,tr_0,3.318875807277351e-05,0.0005963817647622479,0.029271571857978955,0.049607543575234544
raw,variance,PAPA,energy_transfert,0.07015152034707146,0.029235391553171106,0.47329453245751074,0.1682418447296888
raw,variance,PAPA,gamma_lambda_temperature,0.04551683632624319,0.017621936543565666,0.22051257512056274,0.07895988626487771
raw,variance,PAPA,gamma_tr,0.009762865343768204,0.016506879748882416,0.27070771377573244,0.12322578835081326
raw,variance,PAPA,lambda_temperature_0,0.21048095907603576,0.08507633792351138,0.7052781361519672,0.22786943980463034
raw,variance,PAPA,tr_0,0.005781650736263395,0.008742520377316826,0.1681622924506156,0.07114594791697203
robust,CV,BARENTS,energy_transfert,-1.3194141751625333e-17,2.904696227975312e-17,1.0312907460399977e-30,8.535671363800635e-32
robust,CV,BARENTS,gamma_lambda_temperature,0.0035598274100439886,0.0028777817642705534,0.009177848157943836,0.0005571917627214796
robust,CV,BARENTS,gamma_tr,0.002071044320580755,0.005724739044867156,0.03820560302005278,0.0022599754616238954
robust,CV,BARENTS,lambda_temperature_0,0.8754376375415501,0.031846620177325424,0.9113289994645829,0.023104946522467897
robust,CV,BARENTS,tr_0,0.056686897622880615,0.01032183874705505,0.10915902159290895,0.005991475476042673
robust,CV,BATS,energy_transfert,-9.282745835999346e-18,2.203456846333237e-17,5.5267483200126485e-31,2.4053707881322023e-32
robust,CV,BATS,gamma_lambda_temperature,0.7265475351613974,0.02598429388276758,0.8096031736854307,0.025455378809162293
robust,CV,BATS,gamma_tr,0.024261919676650485,0.008744587939865286,0.08216274363833406,0.007838101471946112
