experiment,seed,evaluations,best_nrmse
BARENTS,13,560,0.034678404830496466
BARENTS,13,584,0.029617889822871765
BARENTS,13,608,0.029617889822871765
BARENTS,13,632,0.021629800166123207
BARENTS,13,664,0.020344073918218564
BARENTS,13,696,0.018805234701993852
BARENTS,13,720,0.018805234701993852
BARENTS,13,752,0.018805234701993852
BARENTS,13,792,0.01815633544882015
BARENTS,13,824,0.01725635563944547
BARENTS,13,856,0.016516765457042105
BARENTS,13,896,0.016516765457042105
BARENTS,13,936,0.016049556485916928
BARENTS,13,976,0.016049556485916928
BARENTS,13,1024,0.01604765106236762
BARENTS,13,1064,0.01604676797943871
BARENTS,13,1112,0.01604676797943871
BARENTS,13,1160,0.01604676797943871
BARENTS,13,1216,0.016041475252345706
BARENTS,13,1272,0.016040501532552952
BARENTS,13,1328,0.016040047272615682
BARENTS,13,1384,0.016040007222835034
BARENTS,14,8,1.9614410488625562
BARENTS,14,16,1.6819264690125764
BARENTS,14,24,1.2721955771522775
BARENTS,14,32,1.1545779811052868
BARENTS,14,40,0.8551520921329692
BARENTS,14,48,0.8551520921329692
BARENTS,14,56,0.8551520921329692
BARENTS,14,64,0.8551520921329692
BARENTS,14,72,0.8551520921329692
BARENTS,14,80,0.8551520921329692
BARENTS,14,88,0.8551520921329692
BARENTS,14,96,0.80541102783589
BARENTS,14,104,0.80541102783589
BARENTS,14,112,0.80541102783589
BARENTS,14,120,0.7420437152295342
BARENTS,14,128,0.7420437152295342
BARENTS,14,136,0.7420437152295342
BARENTS,14,144,0.7420437152295342
BARENTS,14,152,0.7420437152295342
BARENTS,14,160,0.7298819461571753
BARENTS,14,168,0.6800496197245519
BARENTS,14,176,0.6800496197245519
BARENTS,14,184,0.6800496197245519
BARENTS,14,192,0.586970035545292
BARENTS,14,200,0.586970035545292
BARENTS,14,208,0.586970035545292
BARENTS,14,216,0.211411348523038
BARENTS,14,224,0.211411348523038
BARENTS,14,232,0.211411348523038
BARENTS,14,248,0.211411348523038
BARENTS,14,256,0.211411348523038
BARENTS,14,272,0.211411348523038
BARENTS,14,280,0.211411348523038
BARENTS,14,296,0.06307014194596813
BARENTS,14,304,0.06307014194596813
BARENTS,14,320,0.06307014194596813
BARENTS,14,336,0.06307014194596813
BARENTS,14,352,0.06307014194596813
BARENTS,14,368,0.06307014194596813
BARENTS,14,384,0.06307014194596813
BARENTS,14,400,0.04143551260787958
BARENTS,14,416,0.03197335039200529
BARENTS,14,432,0.03197335039200529
BARENTS,14,456,0.024875721368486776
BARENTS,14,472,0.023278673628079772
BARENTS,14,496,0.021076982838705252
BARENTS,14,520,0.021076982838705252
BARENTS,14,544,0.01858181651054272
BARENTS,14,568,0.018465669564197533
BARENTS,14,592,0.018465669564197533
BARENTS,14,616,0.017890513643521178
BARENTS,14,648,0.017784736232341822
BARENTS,14,672,0.01753135457764899
BARENTS,14,704,0.017266324351452086
BARENTS,14,736,0.017002770777446254
BARENTS,14,768,0.01602184547452686
BARENTS,14,808,0.008111788879810233
BARENTS,14,840,0.008111788879810233
BARENTS,14,880,0.008111788879810233
BARENTS,14,920,0.004741976025171276
BARENTS,14,960,0.004741976025171276
BARENTS,14,1000,0.0029105524190301997
BARENTS,14,1048,0.002785262227000697
BARENTS,14,1096,0.0016487049852211481
BARENTS,14,1144,0.001200533799784445
BARENTS,14,1192,0.001026540547304456
BARENTS,14,1248,0.0009826393516130828
BARENTS,14,1304,0.0009650565876677416
BARENTS,14,1360,0.0009173932867744128
BARENTS,14,1424,0.0009074962433579195
