family,metric,station,param,S1,S1_conf,ST,ST_conf
raw,argmax,Bay_of_Biscay,tr_0,0.18829271034152792,0.024213101025371712,0.528924670535386,0.034697888571031385
raw,argmax,Bay_of_Biscay,gamma_tr,0.3875720779189648,0.034674949178174486,0.7462463367258763,0.03411333204052144
raw,argmax,Bay_of_Biscay,lambda_temperature_0,0.029976605887410687,0.01542450189814619,0.14297253191489726,0.030763120969905713
raw,argmax,Bay_of_Biscay,gamma_lambda_temperature,0.023902093492037056,0.010716542640228768,0.0727145329327024,0.01602181013045936
raw,argmax,Canaries,energy_transfert,0.0,0.0,0.0,0.0
raw,argmax,Canaries,tr_0,0.15863348712545336,0.017006144187986367,0.40411164626452145,0.027876319474350233
raw,argmax,Canaries,gamma_tr,0.5386030780838345,0.034521820283019,0.8051920260755572,0.036338457100716315
raw,argmax,Canaries,lambda_temperature_0,0.008131060088828239,0.00889047075892038,0.04964983128132465,0.014654103705096832
raw,argmax,Canaries,gamma_lambda_temperature,0.007695749695355128,0.010302239624692629,0.07447119488595297,0.015871840508077252
raw,argmax,BATS,energy_transfert,0.0,0.0,0.0,0.0
raw,argmax,BATS,tr_0,0.1358445835195574,0.018893774817281217,0.401152778217314,0.02972664239662209
raw,argmax,BATS,gamma_tr,0.6000134316485375,0.0431507450651631,0.8487743205318485,0.03688169381175911
raw,argmax,BATS,lambda_temperature_0,0.002683358117198565,0.004212042078178671,0.01604890032275452,0.008876698514491663
raw,argmax,BATS,gamma_lambda_temperature,0.004765508246176605,0.006266307077659244,0.04122715985592963,0.012908818123492843
raw,argmax,HOT,energy_transfert,0.0,0.0,0.0,0.0
raw,argmax,HOT,tr_0,0.027956435980964905,0.023820927947467516,0.6825425235162855,0.0338441641553138
raw,argmax,HOT,gamma_tr,0.09816890567663321,0.03042073905561134,0.8181245237310178,0.04019307302597475
raw,argmax,HOT,lambda_temperature_0,0.03692640491913268,0.02111726780090546,0.435326050508901,0.02895327023050328
raw,argmax,HOT,gamma_lambda_temperature,0.008252043820216732,0.021949393259407902,0.4504884012603819,0.026471443726298075
robust,log10(mean),BARENTS,energy_transfert,0.5747867681133582,0.031295266726943105,0.5753526323434494,0.020344692937670075
robust,log10(mean),BARENTS,tr_0,0.0009840707102979434,0.0011872957779793059,0.001777050715421963,9.37661894962383e-05
robust,log10(mean),BARENTS,gamma_tr,-7.898528926684122e-05,0.0005042336033724011,0.0003225076083957447,2.339352925194644e-05
robust,log10(mean),BARENTS,lambda_temperature_0,0.4141967936466149,0.022749220232601355,0.41449667263404405,0.015653757074504674
robust,log10(mean),BARENTS,gamma_lambda_temperature,0.007444124127255452,0.002772740985191394,0.007948937772670443,0.0003467703417969789
robust,log10(mean),PAPA,energy_transfert,0.438217521208307,0.027245967175233803,0.4384177218713954,0.01663777833354898
robust,log10(mean),PAPA,tr_0,0.0004922533040737571,0.001239796673967747,0.0018322322282333504,0.00010689532730808862
robust,log10(mean),PAPA,gamma_tr,0.0014179986121142748,0.0016849089197016364,0.0029288313791205295,0.00014661112256877988
robust,log10(mean),PAPA,lambda_temperature_0,0.355110547641265,0.02001581668488672,0.3554276558413511,0.012356086353780812
robust,log10(mean),PAPA,gamma_lambda_temperature,0.20202177868520224,0.014277375366009386,0.20244678920384884,0.00674716807596335
robust,log10(mean),Bay_of_Biscay,energy_transfert,0.3787783109358673,0.02562464131774763,0.37901607488566114,0.016891444940377868
robust,log10(mean),Bay_of_Biscay,tr_0,4.3486738217404405e-05,0.0003327981846223377,0.00010403514253751923,8.684764757172664e-06
robust,log10(mean),Bay_of_Biscay,gamma_tr,3.105882549454369e-06,0.0002758010565114514,7.988470517571925e-05,6.670207712603234e-06
robust,log10(mean),Bay_of_Biscay,lambda_temperature_0,0.29640893198233953,0.01621172818203113,0.29655089120067096,0.01027746467151139
robust,log10(mean),Bay_of_Biscay,gamma_lambda_temperature,0.32381145545903534,0.016874596208777876,0.32399258892524657,0.011871104829692116
robust,log10(mean),Canaries,energy_transfert,0.30227669846965816,0.02129043521787133,0.3024348916602252,0.011443342276569676
robust,log10(mean),Canaries,tr_0,5.1255739185871505e-05,0.00016521490146448396,2.8306283304291742e-05,2.9394347466123487e-06
robust,log10(mean),Canaries,gamma_tr,7.419347955724706e-05,0.00021460844239209526,5.334947169195274e-05,4.818966502052001e-06
robust,log10(mean),Canaries,lambda_temperature_0,0.23572587545934137,0.015613665471978158,0.2358283610014445,0.009622995192963094
robust,log10(mean),Canaries,gamma_lambda_temperature,0.461369761193939,0.017997522882647686,0.4615272726905691,0.014648559303749802
robust,log10(mean),BATS,energy_transfert,0.27740517707936785,0.021499305843784136,0.27752857002313397,0.011336949247405121
robust,log10(mean),BATS,tr_0,0.00012044663149732318,0.0004307187760455128,0.000175343829912254,1.7543862525433086e-05
robust,log10(mean),BATS,gamma_tr,0.00027157344488619705,0.0005692335324444787,0.0003341822489861252,2.8373087841143272e-05
robust,log10(mean),BATS,lambda_temperature_0,0.21434845106594674,0.01677118901991683,0.2144599842006932,0.008615097557248074
robust,log10(mean),BATS,gamma_lambda_temperature,0.5074372215363335,0.020872091788549516,0.5076558004979154,0.016906763564721383
robust,log10(mean),HOT,energy_transfert,0.23814301943407334,0.018416400176810857,0.23824127960833347,0.009749017337195128
robust,log10(mean),HOT,tr_0,2.9647799833188558e-05,7.134264026209605e-05,6.174101724980939e-06,6.126006552380437e-07
robust,log10(mean),HOT,gamma_tr,4.2265226595575294e-05,7.885555559948351e-05,8.354348553267237e-06,5.050038284095595e-07
robust,log10(mean),HOT,lambda_temperature_0,0.1858488302979644,0.0151923490254724,0.18593808495728226,0.007165146262014595
robust,log10(mean),HOT,gamma_lambda_temperature,0.575589876083216,0.025227153668379385,0.5757069628706064,0.01754032741530726
robust,CV,BARENTS,energy_transfert,-1.3194141751625333e-17,2.9924445656035867e-17,1.0312907460399977e-30,9.266408346061634e-32
robust,CV,BARENTS,tr_0,0.056686897622880615,0.011701491889486644,0.10915902159290895,0.005537786235525765
robust,CV,BARENTS,gamma_tr,0.002071044320580755,0.0065829225418505555,0.03820560302005278,0.0020738353733811363
robust,CV,BARENTS,lambda_temperature_0,0.8754376375415501,0.03338237083876271,0.9113289994645829,0.025240460912788747
robust,CV,BARENTS,gamma_lambda_temperature,0.0035598274100439886,0.0028568914706393997,0.009177848157943836,0.0005512830077475213
robust,CV,PAPA,energy_transfert,9.98165309742126e-18,1.2545766308543907e-17,2.667953569810715e-31,1.5409393506203438e-32
robust,CV,PAPA,tr_0,0.2524736768599372,0.019421235963123323,0.4717332876303623,0.02364243100223113
robust,CV,PAPA,gamma_tr,0.1259869343807888,0.019036100665665683,0.30733841544506835,0.014010216430414156
robust,CV,PAPA,lambda_temperature_0,0.2856556503213342,0.019869381636597905,0.3205029515275172,0.014974607179506634
robust,CV,PAPA,gamma_lambda_temperature,0.091403653736876,0.01361537155675556,0.18646982281241495,0.010734838773385068
robust,CV,Bay_of_Biscay,energy_transfert,5.183244425526979e-18,2.337666827906882e-17,5.868885636632255e-31,3.0077770515944104e-32
robust,CV,Bay_of_Biscay,tr_0,0.007204284982655759,0.006444262470122718,0.04129779330528156,0.00391349384409042
robust,CV,Bay_of_Biscay,gamma_tr,0.08511468987442664,0.010378723035720544,0.12536755595309698,0.006549188852181554
robust,CV,Bay_of_Biscay,lambda_temperature_0,0.4347131574328382,0.02676482676615196,0.4773027988495965,0.020834822745224097
robust,CV,Bay_of_Biscay,gamma_lambda_temperature,0.3874036419834852,0.02071180155795669,0.4408777633944478,0.01879577993948996
robust,CV,Canaries,energy_transfert,4.399201349892002e-18,1.6593911000729094e-17,3.272908531613061e-31,1.8896300140869102e-32
robust,CV,Canaries,tr_0,-0.002702383986399807,0.004772312877041906,0.03057935798073194,0.002331921869912578
robust,CV,Canaries,gamma_tr,0.04318260989018247,0.008516979356697874,0.08643420011073981,0.005647979729234319
robust,CV,Canaries,lambda_temperature_0,0.0719921549907974,0.01029015854221264,0.08204704060557481,0.003901754550781176
robust,CV,Canaries,gamma_lambda_temperature,0.8305745709814759,0.021908409074426743,0.8583014120878417,0.019734345735771226
robust,CV,BATS,energy_transfert,-9.282745835999346e-18,2.3028193234378806e-17,5.5267483200126485e-31,2.4564231971504393e-32
robust,CV,BATS,tr_0,-0.0012564581389753191,0.005837286254947107,0.03571056847694588,0.0038568361070965306
robust,CV,BATS,gamma_tr,0.024261919676650485,0.008813094954258811,0.08216274363833406,0.009165549710491366
robust,CV,BATS,lambda_temperature_0,0.1453882786138954,0.019421883370575054,0.19155494494906058,0.012327524069742406
robust,CV,BATS,gamma_lambda_temperature,0.7265475351613974,0.024346584384044835,0.8096031736854307,0.027788572178177415
robust,CV,HOT,energy_transfert,-5.5691479680364296e-18,1.8866942020281565e-17,3.475331926773243e-31,1.9369530208341993e-32
robust,CV,HOT,tr_0,0.028128142294696852,0.009760681516306257,0.11140722431331102,0.006512075855373885
robust,CV,HOT,gamma_tr,0.0832165863283671,0.01307008368993638,0.18147846438929932,0.00898753149623279
robust,CV,HOT,lambda_temperature_0,0.07638193798752825,0.009235636406736433,0.10034893472615244,0.005172047728213542
robust,CV,HOT,gamma_lambda_temperature,0.6762528955977981,0.02287902421426482,0.7496923635526013,0.024182721467722327
robust,circular,BARENTS,energy_transfert,0.0,0.0,0.0,0.0
robust,circular,BARENTS,tr_0,0.6882546095641341,0.02545621243208542,0.9571513480599134,0.02325012105804739
robust,circular,BARENTS,gamma_tr,0.024410265042592333,0.012468242104442685,0.18182329344921505,0.009991205762180305
robust,circular,BARENTS,lambda_temperature_0,0.003873759567849559,0.013330715486407444,0.17845747380772348,0.010517554741415447
robust,circular,BARENTS,gamma_lambda_temperature,-0.0014198002341720562,0.0034432582166187453,0.013148588112861013,0.0019484554988897962
robust,circular,PAPA,energy_transfert,0.0,0.0,0.0,0.0
robust,circular,PAPA,tr_0,0.08014585108677155,0.023508096371343847,0.65473150286225,0.02146933765342089
robust,circular,PAPA,gamma_tr,0.21441692876142857,0.02819749122206627,0.7667476083897973,0.022183168906433556
